Date,Mkt-RF,SMB,HML,RF
2014-06-03,-0.0005,-0.0027,0.002,0.0
2014-06-04,0.0028000000000000004,0.0022,-0.0007000000000000001,0.0
2014-06-05,0.0077,0.013000000000000001,-0.0017000000000000001,0.0
2014-06-06,0.0054,0.0048,-0.0002,0.0
2014-06-09,0.0022,0.0104,-0.0031,0.0
2014-06-10,-0.0003,-0.0018,-0.0003,0.0
2014-06-11,-0.0034000000000000002,-0.0013,-0.0025,0.0
2014-06-12,-0.0069,0.0011,0.0016,0.0
2014-06-13,0.0031,-0.0005,-0.0018,0.0
2014-06-16,0.0013,0.004699999999999999,-0.0069,0.0
2014-06-17,0.0034000000000000002,0.0053,0.0045000000000000005,0.0
2014-06-18,0.0074,-0.0028000000000000004,-0.001,0.0
2014-06-19,0.0012,-0.0015,-0.0003,0.0
2014-06-20,0.0018,0.0017000000000000001,0.0004,0.0
2014-06-23,-0.0002,-0.0026,0.0009,0.0
2014-06-24,-0.0072,-0.0034999999999999996,-0.0025,0.0
2014-06-25,0.0053,0.0034999999999999996,0.0015,0.0
2014-06-26,-0.0011,-0.0009,0.0,0.0
2014-06-27,0.0025,0.0049,-0.0022,0.0
2014-06-30,0.0007000000000000001,0.0027,0.0017000000000000001,0.0
2014-07-01,0.0074,0.0049,-0.0038,0.0
2014-07-02,-0.0003,-0.0045000000000000005,-0.002,0.0
2014-07-03,0.0059,0.0021,0.0012,0.0
2014-07-07,-0.0062,-0.0127,0.0033,0.0
2014-07-08,-0.008199999999999999,-0.0068000000000000005,0.0073,0.0
2014-07-09,0.0046,-0.0038,-0.0012,0.0
2014-07-10,-0.0049,-0.006,-0.0002,0.0
2014-07-11,0.0012,-0.0022,-0.0036,0.0
2014-07-14,0.0046,0.0001,-0.0015,0.0
2014-07-15,-0.0032,-0.0095,0.01,0.0
2014-07-16,0.0033,-0.0060999999999999995,0.0034999999999999996,0.0
2014-07-17,-0.0121,-0.0039000000000000003,0.0018,0.0
2014-07-18,0.011200000000000002,0.0051,-0.0045000000000000005,0.0
2014-07-21,-0.0025,-0.0024,0.0004,0.0
2014-07-22,0.0053,0.0028000000000000004,-0.0033,0.0
2014-07-23,0.0019,0.0016,-0.0078000000000000005,0.0
2014-07-24,0.0005,-0.0031,0.0003,0.0
2014-07-25,-0.0053,-0.0039000000000000003,0.0016,0.0
2014-07-28,-0.0008,-0.004699999999999999,0.0027,0.0
2014-07-29,-0.0033,0.0070999999999999995,-0.0066,0.0
2014-07-30,0.0012,0.0046,-0.0036,0.0
2014-07-31,-0.0203,-0.002,0.0048,0.0
2014-08-01,-0.0032,-0.0019,-0.0003,0.0
2014-08-04,0.0074,0.0001,-0.0022,0.0
2014-08-05,-0.0084,0.0079,-0.0018,0.0
2014-08-06,0.0002,0.0040999999999999995,0.0011,0.0
2014-08-07,-0.0052,-0.0003,-0.0015,0.0
2014-08-08,0.0113,-0.0021,-0.0017000000000000001,0.0
2014-08-11,0.004,0.0059,-0.0026,0.0
2014-08-12,-0.0023,-0.006,0.0026,0.0
2014-08-13,0.006999999999999999,-0.0009,-0.0024,0.0
2014-08-14,0.0044,-0.0023,0.0001,0.0
2014-08-15,0.0,-0.0014000000000000002,-0.0014000000000000002,0.0
2014-08-18,0.009300000000000001,0.006,-0.0018,0.0
2014-08-19,0.0049,-0.0012,-0.0009,0.0
2014-08-20,0.0019,-0.0066,0.0029,0.0
2014-08-21,0.0028000000000000004,-0.0015,0.008100000000000001,0.0
2014-08-22,-0.001,0.0032,-0.0038,0.0
2014-08-25,0.0049,-0.0023,0.0001,0.0
2014-08-26,0.0019,0.0072,-0.0032,0.0
2014-08-27,0.0,-0.0022,0.0015,0.0
2014-08-28,-0.0019,-0.0043,0.0008,0.0
2014-08-29,0.0039000000000000003,0.0027,0.0009,0.0
2014-09-02,0.0005,0.004699999999999999,-0.0009,0.0
2014-09-03,-0.0014000000000000002,-0.005600000000000001,0.0024,0.0
2014-09-04,-0.0018,-0.0013,-0.0017000000000000001,0.0
2014-09-05,0.0045000000000000005,-0.0027,-0.0002,0.0
2014-09-08,-0.0022,0.0054,-0.0046,0.0
2014-09-09,-0.0072,-0.0043,0.0002,0.0
2014-09-10,0.0045000000000000005,0.0023,-0.004,0.0
2014-09-11,0.0019,0.0049,0.0022,0.0
2014-09-12,-0.0055000000000000005,-0.0022,0.0013,0.0
2014-09-15,-0.0028000000000000004,-0.0106,0.0063,0.0
2014-09-16,0.006999999999999999,-0.004,-0.001,0.0
2014-09-17,0.0017000000000000001,0.0009,-0.0024,0.0
2014-09-18,0.005,0.0003,0.0001,0.0
2014-09-19,-0.0018,-0.0097,0.0003,0.0
2014-09-22,-0.0097,-0.005600000000000001,0.001,0.0
2014-09-23,-0.0062,-0.0029,-0.0006,0.0
2014-09-24,0.008100000000000001,0.0011,-0.009300000000000001,0.0
2014-09-25,-0.0163,0.0008,0.0012,0.0
2014-09-26,0.0085,-0.0002,-0.0025,0.0
2014-09-29,-0.0022,0.0018,-0.0044,0.0
2014-09-30,-0.004,-0.009899999999999999,0.0011,0.0
2014-10-01,-0.0139,-0.0017000000000000001,0.003,0.0
2014-10-02,0.0016,0.0103,-0.0039000000000000003,0.0
2014-10-03,0.0108,-0.0038,-0.0045000000000000005,0.0
2014-10-06,-0.0026,-0.0078000000000000005,0.0036,0.0
2014-10-07,-0.015600000000000001,-0.0014000000000000002,0.0015,0.0
2014-10-08,0.017,0.0003,-0.0006,0.0
2014-10-09,-0.0217,-0.0042,-0.004,0.0
2014-10-10,-0.0129,-0.0017000000000000001,0.0051,0.0
2014-10-13,-0.0159,0.0134,0.0049,0.0
2014-10-14,0.0027,0.0087,-0.0012,0.0
2014-10-15,-0.0054,0.018500000000000003,-0.013300000000000001,0.0
2014-10-16,0.0022,0.0105,0.0024,0.0
2014-10-17,0.0113,-0.015700000000000002,-0.001,0.0
2014-10-20,0.009399999999999999,0.002,-0.0031,0.0
2014-10-21,0.019799999999999998,-0.0043,0.0007000000000000001,0.0
2014-10-22,-0.0085,-0.005699999999999999,0.0017000000000000001,0.0
2014-10-23,0.0129,0.0052,-0.0044,0.0
2014-10-24,0.006500000000000001,-0.004699999999999999,-0.0013,0.0
2014-10-27,-0.0017000000000000001,0.0012,-0.003,0.0
2014-10-28,0.0137,0.0158,0.0005,0.0
